"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LYLDGJXF","journalArticle","2018","Nacarelli, Timothy; Azar, Ashley; Altinok, Oya; Orynbayeva, Zulfiya; Sell, Christian","Rapamycin increases oxidative metabolism and enhances metabolic flexibility in human cardiac fibroblasts","GeroScience","","2509-2715","10.1007/s11357-018-0030-2","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6060207/","Inhibition of mTOR signaling using rapamycin has been shown to increase lifespan and healthspan in multiple model organisms; however, the precise mechanisms for the beneficial effects of rapamycin remain uncertain. We have previously reported that rapamycin delays senescence in human cells and that enhanced mitochondrial biogenesis and protection from mitochondrial stress is one component of the benefit provided by rapamycin treatment. Here, using two models of senescence, replicative senescence and senescence induced by the presence of the Hutchinson-Gilford progeria lamin A mutation, we report that senescence is accompanied by elevated glycolysis and increased oxidative phosphorylation, which are both reduced by rapamycin. Measurements of mitochondrial function indicate that direct mitochondria targets of rapamycin are succinate dehydrogenase and matrix alanine aminotransferase. Elevated activity of these enzymes could be part of complex mechanisms that enable mitochondria to resume their optimal oxidative phosphorylation and resist senescence. This interpretation is supported by the fact that rapamycin-treated cultures do not undergo a premature senescence in response to the replacement of glucose with galactose in the culture medium, which forces a greater reliance on oxidative phosphorylation. Additionally, long-term treatment with rapamycin increases expression of the mitochondrial carrier protein UCP2, which facilitates the movement of metabolic intermediates across the mitochondrial membrane. The results suggest that rapamycin impacts mitochondrial function both through direct interaction with the mitochondria and through altered gene expression of mitochondrial carrier proteins.","2018-06-21","2025-06-17 20:45:59","2025-06-17 20:45:59","2025-06-17 20:45:59","243-256","","3","40","","GeroScience","","","","","","","","","","","","","PubMed Central","","","","C:\Users\qq121\Zotero\storage\PMAUSVX9\Nacarelli et al. - 2018 - Rapamycin increases oxidative metabolism and enhances metabolic flexibility in human cardiac fibrobl.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6060207/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZD9NZQY","journalArticle","2024","Bearden, Aaron A.; Stewart, Emily M.; Casher, Candace C.; Shaddix, Meredith A.; Nobles, Amber C.; Mockett, Robin J.","Effects of Target of Rapamycin and Phosphatidylinositol 3-Kinase Inhibitors and Other Autophagy-Related Supplements on Life Span in y w Male Drosophila melanogaster","International Journal of Molecular Sciences","","1422-0067","10.3390/ijms252111504","https://www.mdpi.com/1422-0067/25/21/11504","Various dietary supplements have been shown to extend the life span of Drosophila melanogaster, including several that promote autophagy, such as rapamycin and spermidine. The goal of the study presented here was to test numerous additional potential anti-aging supplements, primarily inhibitors of the target of rapamycin (TOR) and/or phosphatidylinositol 3-kinase (PI3K). Using a single, comparatively long-lived y w test strain, screening was performed in male flies supplemented either throughout adulthood or, in a few cases, beginning in middle or late adult life, with concentrations spanning 4–6 orders of magnitude in most cases. Supplementation with PP242 and deferiprone, an iron chelator, beginning in late adult life had no positive effect on life span. Lifelong supplementation with Ku-0063794, LY294002, PX-866-17OH, Torin2 and WYE-28 had no effect at any dose. Rapamycin, spermidine and wortmannin all had significant life-shortening effects at the highest doses tested. AZD8055, PI-103 hydrochloride and WYE-132 yielded slight beneficial effects at 1–2 doses, but only 100 nM AZD8055 was confirmed to have a minor (1.3%) effect in a replicate experiment, which was encompassed by other control groups within the same study. These compounds had no effect on fly fecundity (egg laying) or fertility (development of progeny to adulthood), but equivalent high doses of rapamycin abolished fertility. The solvent DMSO had no significant effect on life span at the concentrations used to solubilize most compounds in the fly medium, but it drastically curtailed both survival and fertility at higher concentrations. 2-Hydroxypropyl-β-cyclodextrin also failed to extend the life span when provided throughout adulthood or beginning in mid-adult life. Collectively, the results suggest that inhibition of the TOR/PI3K pathway and autophagy through dietary intervention is not a straightforward anti-aging strategy in Drosophila and that further extension of life is difficult in comparatively long-lived flies.","2024-01","2025-07-04 01:00:02","2025-07-04 01:00:02","2025-07-04 01:00:02","11504","","21","25","","","","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 21","","C:\Users\qq121\Zotero\storage\4CW99ZLZ\Bearden et al. - 2024 - Effects of Target of Rapamycin and Phosphatidylinositol 3-Kinase Inhibitors and Other Autophagy-Rela.pdf","","","<i>Drosophila</i>; aging; life span; rapamycin; TOR inhibition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NK7SYRQ","journalArticle","2023","Panwar, Vivek; Singh, Aishwarya; Bhatt, Manini; Tonk, Rajiv K.; Azizov, Shavkatjon; Raza, Agha Saquib; Sengupta, Shinjinee; Kumar, Deepak; Garg, Manoj","Multifaceted role of mTOR (mammalian target of rapamycin) signaling pathway in human health and disease","Signal Transduction and Targeted Therapy","","2059-3635","10.1038/s41392-023-01608-z","https://www.nature.com/articles/s41392-023-01608-z","The mammalian target of rapamycin (mTOR) is a protein kinase that controls cellular metabolism, catabolism, immune responses, autophagy, survival, proliferation, and migration, to maintain cellular homeostasis. The mTOR signaling cascade consists of two distinct multi-subunit complexes named mTOR complex 1/2 (mTORC1/2). mTOR catalyzes the phosphorylation of several critical proteins like AKT, protein kinase C, insulin growth factor receptor (IGF-1R), 4E binding protein 1 (4E-BP1), ribosomal protein S6 kinase (S6K), transcription factor EB (TFEB), sterol-responsive element-binding proteins (SREBPs), Lipin-1, and Unc-51-like autophagy-activating kinases. mTOR signaling plays a central role in regulating translation, lipid synthesis, nucleotide synthesis, biogenesis of lysosomes, nutrient sensing, and growth factor signaling. The emerging pieces of evidence have revealed that the constitutive activation of the mTOR pathway due to mutations/amplification/deletion in either mTOR and its complexes (mTORC1 and mTORC2) or upstream targets is responsible for aging, neurological diseases, and human malignancies. Here, we provide the detailed structure of mTOR, its complexes, and the comprehensive role of upstream regulators, as well as downstream effectors of mTOR signaling cascades in the metabolism, biogenesis of biomolecules, immune responses, and autophagy. Additionally, we summarize the potential of long noncoding RNAs (lncRNAs) as an important modulator of mTOR signaling. Importantly, we have highlighted the potential of mTOR signaling in aging, neurological disorders, human cancers, cancer stem cells, and drug resistance. Here, we discuss the developments for the therapeutic targeting of mTOR signaling with improved anticancer efficacy for the benefit of cancer patients in clinics.","2023-10-02","2025-07-07 05:37:31","2025-07-07 05:37:33","2025-07-07 05:37:31","375","","1","8","","Sig Transduct Target Ther","","","","","","Nature Publishing Group","","en","2023 The Author(s)","","","","www.nature.com","","","","C:\Users\qq121\Zotero\storage\68BTECS6\Panwar et al. - 2023 - Multifaceted role of mTOR (mammalian target of rapamycin) signaling pathway in human health and dise.pdf","","","Cancer; Cell biology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9ADUPSZ","journalArticle","2016","Wang, Adrienne; Mouser, Jacob; Pitt, Jason; Promislow, Daniel; Kaeberlein, Matt","Rapamycin enhances survival in a Drosophila model of mitochondrial disease","Oncotarget","","1949-2553","10.18632/oncotarget.12560","https://pmc.ncbi.nlm.nih.gov/articles/PMC5348310/","Pediatric mitochondrial disorders are a devastating category of diseases caused by deficiencies in mitochondrial function. Leigh Syndrome (LS) is the most common of these diseases with symptoms typically appearing within the first year of birth and progressing rapidly until death, usually by 6-7 years of age. Our lab has recently shown that genetic inhibition of the mechanistic target of rapamycin (TOR) rescues the short lifespan of yeast mutants with defective mitochondrial function, and that pharmacological inhibition of TOR by administration of rapamycin significantly rescues the shortened lifespan, neurological symptoms, and neurodegeneration in a mouse model of LS. However, the mechanism by which TOR inhibition exerts these effects, and the extent to which these effects can extend to other models of mitochondrial deficiency, are unknown. Here, we probe the effects of TOR inhibition in a Drosophila model of complex I deficiency. Treatment with rapamycin robustly suppresses the lifespan defect in this model of LS, without affecting behavioral phenotypes. Interestingly, this increased lifespan in response to TOR inhibition occurs in an autophagy-independent manner. Further, we identify a fat storage defect in the ND2 mutant flies that is rescued by rapamycin, supporting a model that rapamycin exerts its effects on mitochondrial disease in these animals by altering metabolism.","2016-10-11","2025-09-24 04:41:25","2025-09-24 04:41:25","2025-09-24 04:41:25","80131-80139","","49","7","","Oncotarget","","","","","","","","","","","","","PubMed Central","","","","; C:\Users\qq121\Zotero\storage\TLTTAUUD\Wang et al. - 2016 - Rapamycin enhances survival in a Drosophila model of mitochondrial disease.pdf","https://pmc.ncbi.nlm.nih.gov/articles/PMC5348310/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N6RABGDF","journalArticle","2023","Frappaolo, Anna; Giansanti, Maria Grazia","Using Drosophila melanogaster to Dissect the Roles of the mTOR Signaling Pathway in Cell Growth","Cells","","2073-4409","10.3390/cells12222622","https://pmc.ncbi.nlm.nih.gov/articles/PMC10670727/","The evolutionarily conserved target of rapamycin (TOR) serine/threonine kinase controls eukaryotic cell growth, metabolism and survival by integrating signals from the nutritional status and growth factors. TOR is the catalytic subunit of two distinct functional multiprotein complexes termed mTORC1 (mechanistic target of rapamycin complex 1) and mTORC2, which phosphorylate a different set of substrates and display different physiological functions. Dysregulation of TOR signaling has been involved in the development and progression of several disease states including cancer and diabetes. Here, we highlight how genetic and biochemical studies in the model system Drosophila melanogaster have been crucial to identify the mTORC1 and mTORC2 signaling components and to dissect their function in cellular growth, in strict coordination with insulin signaling. In addition, we review new findings that involve Drosophila Golgi phosphoprotein 3 in regulating organ growth via Rheb-mediated activation of mTORC1 in line with an emerging role for the Golgi as a major hub for mTORC1 signaling.","2023-11-14","2025-09-24 04:41:37","2025-09-24 04:41:37","2025-09-24 04:41:37","2622","","22","12","","Cells","","","","","","","","","","","","","PubMed Central","","","","; C:\Users\qq121\Zotero\storage\57QYJ5J5\Frappaolo and Giansanti - 2023 - Using Drosophila melanogaster to Dissect the Roles of the mTOR Signaling Pathway in Cell Growth.pdf","https://pmc.ncbi.nlm.nih.gov/articles/PMC10670727/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3J7R3Y4","journalArticle","2024","Lee, Deborah J. W.; Kuerec, Ajla Hodzic; Maier, Andrea B.","Targeting ageing with rapamycin and its derivatives in humans: a systematic review","The Lancet Healthy Longevity","","2666-7568","10.1016/S2666-7568(23)00258-1","https://www.thelancet.com/journals/lanhl/article/PIIS2666-7568(23)00258-1/fulltext","","2024-02-01","2025-10-07 03:45:32","2025-10-07 03:45:32","2025-10-07 03:45:32","e152-e162","","2","5","","The Lancet Healthy Longevity","Targeting ageing with rapamycin and its derivatives in humans","","","","","Elsevier","","English","","","","","www.thelancet.com","","","","C:\Users\qq121\Zotero\storage\NRYBEZCF\Lee et al. - 2024 - Targeting ageing with rapamycin and its derivatives in humans a systematic review.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/38310895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4QRXZ66N","webpage","","","Ageing and health","","","","","https://www.who.int/news-room/fact-sheets/detail/ageing-and-health","Key facts on ageing and health: explanation of ageing, common health conditions associated with ageing, Factors influencing Healthy Ageing, Challenges in responding to population ageing and WHO's response","","2025-10-07 03:54:38","2025-10-07 03:54:38","2025-10-07 03:54:38","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\qq121\Zotero\storage\57ZG2ZSG\ageing-and-health.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV2NDZ6C","journalArticle","2017","Saxton, Robert A.; Sabatini, David M.","mTOR Signaling in Growth, Metabolism, and Disease","Cell","","0092-8674, 1097-4172","10.1016/j.cell.2017.03.035","https://www.cell.com/cell/abstract/S0092-8674(17)30363-X","","2017-04-06","2025-10-07 05:52:04","2025-10-07 05:52:04","2025-10-07 05:52:04","361-371","","2","169","","Cell","","","","","","Elsevier","","English","","","","","www.cell.com","","","","C:\Users\qq121\Zotero\storage\SZ28FRMG\Saxton and Sabatini - 2017 - mTOR Signaling in Growth, Metabolism, and Disease.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/28388417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZVTFK66P","journalArticle","2019","Papadopoli, David; Boulay, Karine; Kazak, Lawrence; Pollak, Michael; Mallette, Frédérick A.; Topisirovic, Ivan; Hulea, Laura","mTOR as a central regulator of lifespan and aging","F1000Research","","2046-1402","10.12688/f1000research.17196.1","https://pmc.ncbi.nlm.nih.gov/articles/PMC6611156/","The mammalian/mechanistic target of rapamycin (mTOR) is a key component of cellular metabolism that integrates nutrient sensing with cellular processes that fuel cell growth and proliferation. Although the involvement of the mTOR pathway in regulating life span and aging has been studied extensively in the last decade, the underpinning mechanisms remain elusive. In this review, we highlight the emerging insights that link mTOR to various processes related to aging, such as nutrient sensing, maintenance of proteostasis, autophagy, mitochondrial dysfunction, cellular senescence, and decline in stem cell function.","2019-07-02","2025-10-07 06:19:22","2025-10-07 06:19:22","2025-10-07 06:19:22","F1000 Faculty Rev-998","","","8","","F1000Res","","","","","","","","","","","","","PubMed Central","","","","; C:\Users\qq121\Zotero\storage\TF3A8GZV\Papadopoli et al. - 2019 - mTOR as a central regulator of lifespan and aging.pdf","https://pmc.ncbi.nlm.nih.gov/articles/PMC6611156/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3KQ8HKUE","journalArticle","2019","Schinaman, Joseph M.; Rana, Anil; Ja, William W.; Clark, Rebecca I.; Walker, David W.","Rapamycin modulates tissue aging and lifespan independently of the gut microbiota in Drosophila","Scientific Reports","","2045-2322","10.1038/s41598-019-44106-5","https://www.nature.com/articles/s41598-019-44106-5","The FDA approved drug rapamycin can prolong lifespan in diverse species and delay the onset of age-related disease in mammals. However, a number of fundamental questions remain unanswered regarding the mechanisms by which rapamycin modulates age-related pathophysiology and lifespan. Alterations in the gut microbiota can impact host physiology, metabolism and lifespan. While recent studies have shown that rapamycin treatment alters the gut microbiota in aged animals, the causal relationships between rapamycin treatment, microbiota dynamics and aging are not known. Here, using Drosophila as a model organism, we show that rapamycin-mediated alterations in microbiota dynamics in aged flies are associated with improved markers of intestinal and muscle aging. Critically, however, we show that the beneficial effects of rapamycin treatment on tissue aging and lifespan are not dependent upon the microbiota. Indeed, germ-free flies show delayed onset of intestinal barrier dysfunction, improved proteostasis in aged muscles and a significant lifespan extension upon rapamycin treatment. In contrast, genetic inhibition of autophagy impairs the ability of rapamycin to mediate improved gut health and proteostasis during aging. Our results indicate that rapamycin-mediated modulation of the microbiota in aged animals is not causally required to slow tissue and organismal aging.","2019-05-24","2025-10-07 06:19:43","2025-10-07 06:19:43","2025-10-07 06:19:43","7824","","1","9","","Sci Rep","","","","","","Nature Publishing Group","","en","2019 The Author(s)","","","","www.nature.com","","","","C:\Users\qq121\Zotero\storage\LPR7LSSM\Schinaman et al. - 2019 - Rapamycin modulates tissue aging and lifespan independently of the gut microbiota in Drosophila.pdf","","","Ageing; Protein aggregation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
